93/06/30,--,--,--,--,0,0,,0
93/07/01,--,--,--,--,0,0,,0
93/07/02,18.00,18.00,18.00,18.00,1000,18000,X,1
93/07/05,--,--,--,--,0,0,,0
93/07/06,--,--,--,--,0,0,,0
93/07/07,--,--,--,--,0,0,,0
93/07/08,--,--,--,--,0,0,,0
93/07/09,--,--,--,--,0,0,,0
93/07/12,--,--,--,--,0,0,,0
93/07/13,--,--,--,--,0,0,,0
93/07/14,--,--,--,--,0,0,,0
93/07/15,--,--,--,--,0,0,,0
93/07/16,--,--,--,--,0,0,,0
93/07/19,--,--,--,--,0,0,,0
93/07/20,--,--,--,--,0,0,,0
93/07/21,--,--,--,--,0,0,,0
93/07/22,--,--,--,--,0,0,,0
93/07/23,17.00,18.00,17.00,18.00,22000,395000,X,4
93/07/26,--,--,--,--,0,0,,0
93/07/27,--,--,--,--,0,0,,0
93/07/28,--,--,--,--,0,0,,0
93/07/29,17.30,17.90,17.30,17.90,13000,232100,X,4
93/07/30,17.30,17.90,17.30,17.90,12000,214200,,3
93/08/02,17.30,17.80,17.30,17.80,3000,52900,-0.10,3
93/08/03,17.30,17.70,17.30,17.70,2000,35000,-0.10,2
93/08/04,17.30,17.70,17.30,17.70,13000,229700,,4
93/08/05,17.30,17.70,17.30,17.70,2000,35000,,2
93/08/06,17.30,17.80,17.30,17.80,51000,907300,0.10,5
93/08/09,--,--,--,--,0,0,,0
93/08/10,17.30,17.90,17.30,17.90,4000,69800,X,2
93/08/11,--,--,--,--,0,0,,0
93/08/12,--,--,--,--,0,0,,0
93/08/13,--,--,--,--,0,0,,0
93/08/16,--,--,--,--,0,0,,0
93/08/17,17.70,17.70,17.70,17.70,50000,885000,X,1
93/08/18,--,--,--,--,0,0,,0
93/08/19,17.70,17.70,17.70,17.70,50000,885000,X,5
93/08/20,--,--,--,--,0,0,,0
93/08/23,17.70,17.70,17.70,17.70,20000,354000,X,1
93/08/26,--,--,--,--,0,0,,0
93/08/27,17.70,17.80,17.40,17.80,32000,566200,X,3
93/08/30,--,--,--,--,0,0,,0
93/08/31,17.30,17.70,17.30,17.70,23000,401900,X,4
93/09/01,17.50,17.70,17.50,17.70,3000,52700,,2
93/09/02,--,--,--,--,0,0,,0
93/09/03,--,--,--,--,0,0,,0
93/09/06,--,--,--,--,0,0,,0
93/09/07,17.50,17.70,17.50,17.70,18000,316000,X,4
93/09/08,17.30,17.70,17.30,17.70,6000,105800,,2
93/09/09,17.50,17.50,17.50,17.50,5000,87500,-0.20,1
93/09/10,--,--,--,--,0,0,,0
93/09/13,--,--,--,--,0,0,,0
93/09/14,17.50,17.50,17.50,17.50,8000,140000,X,2
93/09/15,17.50,17.50,17.50,17.50,27000,472500,,4
93/09/16,--,--,--,--,0,0,,0
93/09/17,16.30,17.50,16.30,17.50,10000,173800,X,2
93/09/20,17.50,17.50,17.50,17.50,5000,87500,,1
93/09/21,17.50,17.50,17.50,17.50,30000,525000,,1
93/09/22,17.50,17.50,17.50,17.50,80000,1400000,,5
93/09/23,17.50,17.50,17.50,17.50,15000,262500,,1
93/09/24,17.50,17.50,17.50,17.50,29000,507500,,1
93/09/27,--,--,--,--,0,0,,0
93/09/29,--,--,--,--,0,0,,0
93/09/30,17.40,17.50,17.30,17.50,125000,2163800,X,5
93/10/01,17.30,17.50,16.60,17.50,226000,3889100,,6
93/10/04,17.20,17.40,16.80,17.40,603000,10242400,-0.10,23
93/10/05,--,--,--,--,0,0,,0
93/10/06,--,--,--,--,0,0,,0
93/10/07,17.10,17.30,17.10,17.30,70000,1200000,X,5
93/10/08,17.10,17.30,17.10,17.30,30000,514000,,2
93/10/11,17.10,17.10,17.10,17.10,70000,1197000,-0.20,6
93/10/12,17.10,17.30,17.10,17.30,225000,3848500,0.20,9
93/10/13,17.10,17.30,17.00,17.30,209000,3560200,,14
93/10/14,17.20,17.20,17.10,17.20,51000,875200,-0.10,7
93/10/15,17.00,17.10,17.00,17.10,36000,613100,-0.10,5
93/10/18,17.00,17.00,17.00,17.00,30000,510000,-0.10,4
93/10/19,17.20,17.20,17.20,17.20,5000,86000,0.20,1
93/10/20,17.00,17.10,17.00,17.10,46000,784600,-0.10,4
93/10/21,17.00,17.00,17.00,17.00,20000,340000,-0.10,4
93/10/22,17.00,17.20,17.00,17.20,65000,1115200,0.20,6
93/10/26,17.40,17.40,17.40,17.40,33000,574200,0.20,4
93/10/27,17.10,17.20,17.10,17.20,161000,2760200,-0.20,8
93/10/28,17.30,17.30,17.30,17.30,199000,3442700,0.10,8
93/10/29,17.20,17.30,17.20,17.30,364000,6295800,,8
93/11/01,17.40,17.50,17.40,17.50,26000,454500,0.20,4
93/11/02,17.70,17.70,17.70,17.70,325000,5752500,0.20,8
93/11/03,17.50,17.50,17.50,17.50,30000,525000,-0.20,1
93/11/04,17.30,17.50,17.30,17.50,11000,192300,,2
93/11/05,17.40,17.40,17.20,17.20,201000,3478300,-0.30,12
93/11/08,17.20,17.20,17.20,17.20,33000,567600,,4
93/11/09,17.20,17.20,17.10,17.10,59000,1012800,-0.10,9
93/11/10,17.00,17.00,17.00,17.00,20000,340000,-0.10,1
93/11/11,17.00,17.00,17.00,17.00,224000,3808000,,8
93/11/12,--,--,--,--,0,0,,0
93/11/15,17.00,17.00,17.00,17.00,50000,850000,X,4
93/11/16,17.00,17.00,17.00,17.00,50000,850000,,1
93/11/17,17.00,17.00,17.00,17.00,60000,1020000,,7
93/11/18,--,--,--,--,0,0,,0
93/11/19,17.00,17.00,17.00,17.00,40000,680000,X,4
93/11/22,17.00,17.00,17.00,17.00,10000,170000,,1
93/11/23,17.00,17.00,17.00,17.00,25000,425000,,3
93/11/24,17.00,17.00,17.00,17.00,20000,340000,,2
93/11/25,--,--,--,--,0,0,,0
93/11/26,17.00,17.00,17.00,17.00,20000,340000,X,2
93/11/29,--,--,--,--,0,0,,0
93/11/30,17.00,17.00,17.00,17.00,9000,153000,X,3
93/12/01,17.00,17.00,17.00,17.00,5000,85000,,1
93/12/02,17.50,17.50,17.50,17.50,15000,262500,0.50,3
93/12/03,17.10,17.10,17.10,17.10,15000,256500,-0.40,1
93/12/06,17.10,17.10,17.10,17.10,6000,102600,,1
93/12/07,--,--,--,--,0,0,,0
93/12/08,17.00,17.00,17.00,17.00,6000,102000,X,2
93/12/09,17.00,17.10,17.00,17.10,30000,511000,0.10,3
93/12/10,17.00,17.00,17.00,17.00,34000,578000,-0.10,5
93/12/13,17.00,17.10,17.00,17.10,23000,392100,0.10,6
93/12/14,17.00,17.00,17.00,17.00,23000,391000,-0.10,5
93/12/15,--,--,--,--,0,0,,0
93/12/16,17.00,17.00,17.00,17.00,10000,170000,X,1
93/12/17,17.00,17.00,17.00,17.00,5000,85000,,2
93/12/20,16.90,17.00,16.90,17.00,3000,50900,,2
93/12/21,17.00,17.00,16.90,16.90,20000,339800,-0.10,3
93/12/22,17.00,17.00,17.00,17.00,108000,1836000,0.10,42
93/12/23,17.00,17.00,17.00,17.00,51000,867000,,6
93/12/24,17.00,17.00,17.00,17.00,47000,799000,,6
93/12/27,--,--,--,--,0,0,,0
93/12/28,--,--,--,--,0,0,,0
93/12/29,17.00,17.00,17.00,17.00,12000,204000,X,2
93/12/30,--,--,--,--,0,0,,0
93/12/31,17.00,17.00,17.00,17.00,2000,34000,X,1
94/01/03,--,--,--,--,0,0,,0
94/01/04,17.00,17.00,17.00,17.00,1000,17000,X,1
94/01/05,17.00,17.00,17.00,17.00,1000,17000,,1
94/01/06,17.00,17.00,17.00,17.00,18000,306000,,3
94/01/07,17.00,17.00,17.00,17.00,200000,3400000,,12
94/01/10,17.00,17.00,17.00,17.00,1060000,18020000,,38
94/01/11,--,--,--,--,0,0,,0
94/01/12,17.00,17.00,17.00,17.00,490000,8330000,X,15
94/01/13,16.90,17.00,16.90,17.00,19000,321200,,4
94/01/14,17.00,17.00,17.00,17.00,515000,8755000,,33
94/01/17,17.00,17.00,17.00,17.00,20000,340000,,7
94/01/18,--,--,--,--,0,0,,0
94/01/19,--,--,--,--,0,0,,0
94/01/20,--,--,--,--,0,0,,0
94/01/21,--,--,--,--,0,0,,0
94/01/26,16.90,17.00,16.80,17.00,121000,2035000,X,6
94/01/27,--,--,--,--,0,0,,0
94/01/28,--,--,--,--,0,0,,0
94/01/31,17.00,17.00,17.00,17.00,2000,34000,X,2
94/02/01,--,--,--,--,0,0,,0
94/02/02,17.10,17.10,17.10,17.10,1000,17100,X,1
94/02/03,--,--,--,--,0,0,,0
94/02/14,--,--,--,--,0,0,,0
94/02/15,--,--,--,--,0,0,,0
94/02/16,--,--,--,--,0,0,,0
94/02/17,--,--,--,--,0,0,,0
94/02/18,17.00,17.00,17.00,17.00,12000,204000,X,2
94/02/21,--,--,--,--,0,0,,0
94/02/22,17.00,17.00,17.00,17.00,37000,629000,X,6
94/02/23,17.00,17.00,17.00,17.00,3000,51000,,2
94/02/24,17.00,17.00,17.00,17.00,636000,10812000,,14
