107/01/22,---,---,---,---,0,0,---,0
107/01/23,0.98,0.99,0.94,0.94,226000,221110,-0.04,10
107/01/24,0.90,0.99,0.90,0.94,391000,370510,0.00,12
107/01/25,0.93,0.94,0.86,0.86,231000,206850,-0.08,16
107/01/26,0.89,1.01,0.86,0.97,1099000,1051270,+0.11,31
107/01/29,0.91,0.91,0.88,0.88,1032000,932710,-0.09,15
107/01/30,0.87,0.87,0.82,0.82,10000,8550,-0.06,3
107/01/31,0.82,0.88,0.80,0.88,582000,488620,+0.06,16
107/02/01,0.82,0.84,0.81,0.84,662000,549860,-0.04,19
107/02/02,0.87,0.93,0.85,0.90,835000,747750,+0.06,23
107/02/05,0.79,0.84,0.75,0.82,933000,734330,-0.08,19
107/02/06,0.74,0.75,0.60,0.64,451000,313870,-0.18,13
107/02/07,0.70,0.75,0.70,0.70,761000,560340,+0.06,11
107/02/08,0.65,0.65,0.63,0.64,673000,435990,-0.06,12
107/02/09,0.53,0.56,0.53,0.56,10000,5450,-0.08,2
107/02/12,0.60,0.62,0.60,0.62,11000,6720,+0.06,2
107/02/21,0.63,0.63,0.63,0.63,10000,6300,+0.01,1
107/02/22,---,---,---,---,0,0,---,0
107/02/23,0.58,0.60,0.57,0.58,834000,487060,+0.01,11
107/02/26,0.56,0.59,0.56,0.58,862000,495740,0.00,11
107/02/27,0.57,0.57,0.56,0.57,338000,190500,-0.01,7
107/03/01,0.54,0.54,0.53,0.53,310000,165550,-0.04,8
107/03/02,0.52,0.57,0.52,0.57,607000,324590,+0.04,8
107/03/05,0.56,0.56,0.52,0.53,574000,318270,-0.04,5
107/03/06,---,---,---,---,0,0,---,0
107/03/07,0.52,0.55,0.52,0.55,35000,18760,+0.02,3
107/03/08,0.52,0.54,0.51,0.53,345000,182630,-0.02,10
107/03/09,0.51,0.53,0.49,0.52,368000,188400,-0.01,9
107/03/12,0.50,0.52,0.50,0.51,460000,234560,-0.01,5
107/03/13,0.51,0.57,0.51,0.56,1015000,552810,+0.05,19
107/03/14,0.54,0.57,0.53,0.56,612000,335410,0.00,16
107/03/15,0.54,0.59,0.54,0.57,518000,288620,+0.01,8
107/03/16,0.54,0.56,0.53,0.55,527000,286610,-0.02,12
107/03/19,0.52,0.55,0.52,0.55,347000,189710,0.00,4
107/03/20,0.52,0.52,0.51,0.51,337000,174520,-0.04,8
107/03/21,0.53,0.53,0.53,0.53,20000,10600,+0.02,1
107/03/22,0.54,0.56,0.54,0.55,883000,486910,+0.02,17
107/03/23,0.47,0.55,0.46,0.53,1078000,554140,-0.02,17
107/03/26,0.51,0.62,0.50,0.62,1507000,847260,+0.09,28
107/03/27,0.59,0.67,0.57,0.57,1223000,755030,-0.05,35
107/03/28,0.70,0.87,0.70,0.74,1620000,1261930,+0.17,42
107/03/29,0.77,0.77,0.70,0.73,1847000,1372740,-0.01,49
107/03/30,0.74,0.75,0.70,0.74,594000,425810,+0.01,18
107/03/31,0.71,0.73,0.69,0.72,392000,279790,-0.02,15
107/04/02,0.76,0.78,0.73,0.73,609000,467680,+0.01,19
107/04/03,0.68,0.76,0.68,0.74,549000,403520,+0.01,14
107/04/09,0.76,0.81,0.72,0.73,1131000,850280,-0.01,56
107/04/10,0.70,0.70,0.60,0.62,690000,450980,-0.11,32
107/04/11,0.57,0.63,0.57,0.61,542000,321120,-0.01,18
107/04/12,0.61,0.61,0.57,0.58,520000,302650,-0.03,12
107/04/13,0.59,0.64,0.59,0.62,813000,498370,+0.04,15
107/04/16,0.59,0.59,0.55,0.56,838000,477000,-0.06,17
107/04/17,0.52,0.54,0.51,0.52,76000,39430,-0.04,8
107/04/18,0.54,0.56,0.54,0.55,67000,36480,+0.03,7
107/04/19,0.54,0.57,0.52,0.52,62000,33780,-0.03,7
