107/05/31,1.02,1.03,0.80,0.84,427000,405280,0.00,43
107/06/01,0.86,0.92,0.83,0.86,545000,480160,+0.02,33
107/06/04,0.94,0.98,0.89,0.90,599000,556680,+0.04,41
107/06/05,0.87,0.87,0.76,0.76,478000,386040,-0.14,38
107/06/06,0.80,0.88,0.79,0.83,655000,545100,+0.07,46
107/06/07,0.80,0.85,0.80,0.81,618000,508250,-0.02,23
107/06/08,0.77,0.97,0.77,0.88,1614000,1407070,+0.07,84
107/06/11,0.92,0.99,0.89,0.92,956000,893600,+0.04,53
107/06/12,0.91,0.93,0.83,0.85,608000,539220,-0.07,31
107/06/13,0.88,0.89,0.76,0.77,1047000,876290,-0.08,35
107/06/14,0.77,0.82,0.76,0.77,604000,470010,0.00,18
107/06/15,0.79,1.03,0.75,1.02,1428000,1160230,+0.25,53
107/06/19,1.06,1.09,0.94,1.01,2868000,2945720,-0.01,111
107/06/20,0.99,0.99,0.81,0.89,1453000,1328820,-0.12,34
107/06/21,0.96,1.03,0.92,0.92,381000,374220,+0.03,27
107/06/22,0.84,0.93,0.81,0.83,895000,775450,-0.09,47
107/06/25,0.87,0.89,0.81,0.82,813000,699210,-0.01,16
107/06/26,0.77,0.82,0.77,0.80,291000,234220,-0.02,10
107/06/27,0.86,0.90,0.83,0.83,809000,715510,+0.03,22
107/06/28,0.80,0.84,0.78,0.78,693000,560740,-0.05,16
107/06/29,0.82,0.83,0.81,0.82,274000,225070,+0.04,8
107/07/02,0.84,0.90,0.84,0.85,789000,690750,+0.03,21
107/07/03,0.86,0.90,0.80,0.82,1315000,1149140,-0.03,35
107/07/04,0.83,0.87,0.79,0.83,782000,645810,+0.01,22
107/07/05,0.82,0.89,0.81,0.81,1015000,872420,-0.02,37
107/07/06,0.82,0.82,0.64,0.71,906000,701630,-0.10,25
107/07/09,0.76,0.79,0.74,0.74,179000,138430,+0.03,5
107/07/10,0.71,0.72,0.69,0.71,230000,162020,-0.03,9
107/07/11,0.69,0.70,0.69,0.70,31000,21490,-0.01,2
107/07/12,0.70,0.73,0.70,0.71,230000,164020,+0.01,13
107/07/13,0.71,0.72,0.68,0.68,224000,158890,-0.03,8
107/07/16,0.63,0.64,0.63,0.63,64000,40330,-0.05,4
107/07/17,0.63,0.63,0.55,0.57,61000,35570,-0.06,6
107/07/18,0.58,0.58,0.48,0.52,130000,66400,-0.05,9
107/07/19,0.54,0.54,0.52,0.52,60000,31600,0.00,3
107/07/20,0.51,0.51,0.46,0.46,80000,39600,-0.06,4
107/07/23,0.50,0.50,0.50,0.50,12000,6000,+0.04,2
107/07/24,0.51,0.52,0.51,0.51,158000,81670,+0.01,6
107/07/25,0.52,0.56,0.52,0.55,573000,310910,+0.04,14
107/07/26,0.52,0.53,0.52,0.53,427000,225880,-0.02,7
107/07/27,0.57,0.58,0.57,0.58,160000,91800,+0.05,3
107/07/30,0.55,0.55,0.47,0.47,120000,64400,-0.11,3
107/07/31,0.47,0.49,0.46,0.49,285000,133950,+0.02,3
107/08/01,0.47,0.47,0.47,0.47,260000,122200,-0.02,2
107/08/02,0.43,0.43,0.42,0.42,101000,42430,-0.05,2
107/08/03,0.44,0.44,0.42,0.42,45000,19300,0.00,2
107/08/06,0.43,0.44,0.43,0.44,316000,138540,+0.02,2
107/08/07,0.43,0.45,0.43,0.45,424000,185480,+0.01,3
107/08/08,0.46,0.46,0.46,0.46,158000,72680,+0.01,2
