106/10/17,1.39,1.39,1.32,1.37,543000,738530,+0.17,15
106/10/18,1.20,1.33,1.14,1.31,314000,406750,-0.06,15
106/10/19,1.30,1.33,1.22,1.22,296000,372440,-0.09,10
106/10/20,1.15,1.16,1.07,1.16,317000,350420,-0.06,9
106/10/23,1.11,1.11,1.09,1.09,77000,84830,-0.07,3
106/10/24,1.16,1.18,1.16,1.17,293000,344240,+0.08,7
106/10/25,1.06,1.08,1.01,1.07,666000,701090,-0.10,21
106/10/26,1.11,1.13,1.11,1.11,253000,281230,+0.04,10
106/10/27,1.09,1.31,1.09,1.30,392000,476860,+0.19,22
106/10/30,1.16,1.24,1.15,1.18,257000,302610,-0.12,16
106/10/31,1.13,1.16,1.13,1.13,349000,398260,-0.05,12
106/11/01,1.17,1.17,1.10,1.10,17000,19420,-0.03,3
106/11/02,1.13,1.13,1.01,1.12,327000,353320,+0.02,12
106/11/03,1.10,1.19,1.09,1.19,285000,324060,+0.07,24
106/11/06,1.16,1.21,1.16,1.18,249000,294600,-0.01,16
106/11/07,1.17,1.17,1.12,1.13,107000,123940,-0.05,12
106/11/08,1.18,1.21,1.18,1.21,118000,140870,+0.08,8
106/11/09,1.18,1.32,1.15,1.32,531000,655070,+0.11,21
106/11/10,1.21,1.23,1.07,1.07,515000,616550,-0.25,19
106/11/13,1.07,1.10,1.03,1.10,117000,122930,+0.03,9
106/11/14,1.06,1.18,1.04,1.18,256000,285880,+0.08,10
106/11/15,1.16,1.19,1.10,1.10,295000,339000,-0.08,11
106/11/16,1.12,1.13,1.12,1.13,37000,41710,+0.03,2
106/11/17,1.07,1.09,1.07,1.09,74000,79930,-0.04,6
106/11/20,1.08,1.09,1.08,1.09,37000,40230,0.00,2
106/11/21,1.00,1.00,0.94,0.94,40000,38200,-0.15,2
106/11/22,0.95,1.03,0.95,1.03,181000,178250,+0.09,5
106/11/23,1.00,1.03,0.99,0.99,121000,120610,-0.04,6
106/11/24,1.06,1.08,1.05,1.05,65000,69050,+0.06,3
106/11/27,1.02,1.03,0.98,1.02,75000,75100,-0.03,5
106/11/28,1.02,1.02,1.02,1.02,10000,10200,0.00,1
106/11/29,0.99,0.99,0.99,0.99,50000,49500,-0.03,1
106/11/30,1.05,1.15,1.04,1.12,175000,191200,+0.13,14
106/12/01,1.08,1.26,1.08,1.23,285000,346950,+0.11,23
106/12/04,1.18,1.22,1.16,1.20,181000,213160,-0.03,19
106/12/05,1.22,1.38,1.19,1.33,248000,317540,+0.13,21
106/12/06,1.31,1.37,1.28,1.37,164000,219000,+0.04,17
106/12/07,1.30,1.37,1.30,1.35,129000,171680,-0.02,22
106/12/08,1.31,1.38,1.17,1.17,109000,136540,-0.18,10
106/12/11,1.20,1.20,1.20,1.20,1000,1200,+0.03,1
106/12/12,1.15,1.19,1.15,1.19,40000,46900,-0.01,4
106/12/13,1.19,1.23,1.19,1.22,216000,261370,+0.03,11
106/12/14,1.18,1.25,1.17,1.25,234000,280660,+0.03,11
106/12/15,1.26,1.26,1.26,1.26,50000,63000,+0.01,1
106/12/18,1.17,1.22,1.15,1.22,62000,71580,-0.04,4
106/12/19,1.24,1.24,1.24,1.24,56000,69440,+0.02,5
106/12/20,1.26,1.26,1.23,1.23,35000,43770,-0.01,6
106/12/21,1.16,1.18,1.16,1.18,16000,18720,-0.05,2
106/12/22,1.22,1.23,1.22,1.22,61000,74440,+0.04,4
106/12/25,1.21,1.23,1.21,1.23,61000,74030,+0.01,4
106/12/26,1.09,1.18,1.09,1.18,33000,37450,-0.05,4
106/12/27,1.19,1.21,1.19,1.21,33000,39530,+0.03,4
106/12/28,1.10,1.10,1.09,1.09,15000,16450,-0.12,2
106/12/29,---,---,---,---,0,0,---,0
107/01/02,1.12,1.14,1.12,1.14,51000,58030,+0.02,5
107/01/03,1.01,1.02,0.92,0.92,62000,61690,-0.22,4
107/01/04,0.92,0.92,0.92,0.92,50000,46000,0.00,2
107/01/05,0.87,0.87,0.84,0.87,70000,59200,-0.05,5
107/01/08,0.91,0.93,0.89,0.89,70000,64380,+0.02,4
107/01/09,0.84,0.90,0.83,0.90,102000,88060,+0.01,5
107/01/10,0.90,0.99,0.88,0.99,188000,173840,+0.09,9
107/01/11,0.97,0.97,0.95,0.97,191000,183470,-0.02,14
107/01/12,0.90,0.92,0.88,0.92,37000,33130,-0.05,7
107/01/15,0.85,0.85,0.84,0.84,38000,32120,-0.08,4
107/01/16,0.84,0.84,0.84,0.84,70000,58800,0.00,2
107/01/17,0.83,0.85,0.83,0.84,91000,75790,0.00,7
107/01/18,0.77,0.77,0.73,0.74,110000,81790,-0.10,6
107/01/19,0.63,0.65,0.63,0.65,62000,39320,-0.09,4
107/01/22,0.44,0.44,0.39,0.39,113000,45220,-0.26,3
107/01/23,0.35,0.43,0.34,0.43,140000,54000,+0.04,5
107/01/24,0.35,0.36,0.35,0.35,200000,70200,-0.08,5
107/01/25,---,---,---,---,0,0,---,0
107/01/26,---,---,---,---,0,0,---,0
107/01/29,0.36,0.36,0.33,0.33,10000,3450,-0.06,2
107/01/30,---,---,---,---,0,0,---,0
107/01/31,0.30,0.30,0.30,0.30,50000,15000,0.00,1
