107/04/18,3.01,3.11,2.88,3.01,354000,1059990,+0.03,14
107/04/19,3.42,3.66,3.20,3.29,250000,868760,+0.28,16
107/04/20,3.04,3.17,3.00,3.04,174000,536500,-0.25,14
107/04/23,3.04,3.09,2.97,2.97,234000,712500,-0.07,11
107/04/24,2.92,2.92,2.37,2.37,167000,422920,-0.60,12
107/04/25,2.39,2.55,2.38,2.41,170000,419530,+0.04,10
107/04/26,2.51,2.63,2.47,2.56,245000,625190,+0.15,13
107/04/27,2.56,2.56,2.51,2.55,349000,883820,-0.01,8
107/04/30,2.58,2.58,2.40,2.40,370000,904750,-0.15,7
107/05/02,2.50,2.54,2.47,2.52,469000,1178950,+0.12,18
107/05/03,2.73,2.90,2.54,2.54,641000,1786530,+0.02,40
107/05/04,2.57,2.57,2.20,2.30,578000,1377020,-0.24,30
107/05/07,2.32,2.49,2.24,2.48,941000,2190520,+0.18,37
107/05/08,2.44,2.79,2.44,2.58,1011000,2672900,+0.10,55
107/05/09,2.89,2.89,2.67,2.67,708000,1983170,+0.09,28
107/05/10,2.61,2.61,2.57,2.61,390000,1007770,-0.06,16
107/05/11,2.80,3.16,2.75,3.16,948000,2753500,+0.55,33
107/05/14,3.29,3.96,3.27,3.93,620000,2188420,+0.77,19
107/05/15,3.89,3.89,3.75,3.87,117000,441850,-0.06,6
107/05/16,4.55,4.57,3.86,3.86,86000,365410,-0.01,10
107/05/17,4.00,4.00,3.45,3.54,59000,215010,-0.32,10
107/05/18,3.30,3.62,3.30,3.48,26000,91040,-0.06,7
107/05/21,3.42,3.53,3.42,3.49,58000,202570,+0.01,5
107/05/22,3.52,3.52,3.06,3.06,157000,526300,-0.43,13
107/05/23,3.22,3.32,2.90,3.07,129000,411840,+0.01,15
107/05/24,2.96,3.13,2.94,3.13,134000,410250,+0.06,20
107/05/25,3.06,3.60,3.06,3.56,433000,1467490,+0.43,31
107/05/28,3.74,3.85,3.62,3.77,383000,1424810,+0.21,20
107/05/29,3.72,4.01,3.72,3.93,119000,458270,+0.16,12
107/05/30,3.98,4.53,3.98,4.53,194000,806440,+0.60,11
107/05/31,4.53,4.77,3.91,3.93,119000,528870,-0.60,14
107/06/01,3.90,3.90,3.52,3.52,91000,339770,-0.41,9
107/06/04,3.48,3.48,3.35,3.46,26000,89770,-0.06,4
107/06/05,3.17,3.27,3.00,3.27,47000,144790,-0.19,9
107/06/06,3.45,3.46,3.36,3.44,41000,139730,+0.17,6
107/06/07,3.43,3.43,3.19,3.19,53000,177360,-0.25,7
107/06/08,2.99,3.02,2.85,2.89,72000,210750,-0.30,9
107/06/11,2.99,3.34,2.99,3.08,273000,856870,+0.19,15
107/06/12,3.20,3.39,3.02,3.02,402000,1310090,-0.06,17
107/06/13,2.95,2.95,2.50,2.50,398000,1071030,-0.52,25
107/06/14,2.52,2.66,2.49,2.66,168000,436850,+0.16,14
107/06/15,2.69,2.72,2.48,2.50,140000,372430,-0.16,7
107/06/19,2.48,2.51,2.28,2.28,149000,358900,-0.22,15
107/06/20,2.28,2.29,1.85,2.07,133000,291870,-0.21,21
107/06/21,2.09,2.32,2.09,2.32,274000,620920,+0.25,15
107/06/22,2.21,2.21,2.03,2.05,279000,606280,-0.27,14
107/06/25,2.07,2.09,1.88,1.95,66000,135410,-0.10,7
107/06/26,2.17,2.43,2.13,2.13,294000,660940,+0.18,29
107/06/27,2.16,2.63,2.11,2.62,296000,709990,+0.49,29
107/06/28,2.50,2.55,2.20,2.22,155000,376380,-0.40,21
107/06/29,2.16,2.18,1.97,2.18,286000,575890,-0.04,15
