106/11/21,1.03,1.03,0.95,0.95,145000,147280,-0.04,9
106/11/22,0.95,1.08,0.95,1.08,1140000,1142740,+0.13,22
106/11/23,1.06,1.36,1.06,1.35,2702000,3186930,+0.27,120
106/11/24,1.35,1.35,1.03,1.06,2782000,3170350,-0.29,165
106/11/27,0.99,0.99,0.85,0.85,1554000,1419930,-0.21,109
106/11/28,0.79,1.06,0.79,0.87,1919000,1679240,+0.02,60
106/11/29,0.89,0.89,0.77,0.81,2000000,1688540,-0.06,70
106/11/30,0.85,0.85,0.68,0.75,1660000,1209360,-0.06,71
106/12/01,0.71,0.78,0.69,0.76,985000,726010,+0.01,46
106/12/04,0.73,0.80,0.73,0.78,1479000,1141750,+0.02,53
106/12/05,0.79,0.88,0.78,0.81,2288000,1864340,+0.03,68
106/12/06,0.75,0.79,0.74,0.76,2072000,1580140,-0.05,54
106/12/07,0.76,0.79,0.73,0.74,1186000,896700,-0.02,36
106/12/08,0.70,0.87,0.60,0.77,3552000,2585390,+0.03,131
106/12/11,0.73,0.80,0.71,0.72,2445000,1853890,-0.05,75
106/12/12,0.69,0.76,0.69,0.76,1458000,1080050,+0.04,40
106/12/13,0.75,0.75,0.72,0.75,741000,543850,-0.01,15
106/12/14,0.75,0.75,0.70,0.74,504000,361220,-0.01,15
106/12/15,0.71,0.73,0.71,0.73,1596000,1153610,-0.01,19
106/12/18,0.70,0.70,0.63,0.63,1687000,1130990,-0.10,36
106/12/19,0.59,0.67,0.59,0.67,215000,132530,+0.04,15
106/12/20,0.65,0.65,0.61,0.63,319000,196350,-0.04,12
106/12/21,0.62,0.63,0.60,0.62,598000,360230,-0.01,8
106/12/22,0.62,0.62,0.62,0.62,3000,1860,0.00,1
106/12/25,0.62,0.63,0.58,0.61,551000,344700,-0.01,11
106/12/26,0.50,0.54,0.46,0.54,1536000,771680,-0.07,50
106/12/27,0.56,0.58,0.55,0.58,778000,439490,+0.04,29
106/12/28,0.56,0.58,0.56,0.57,1096000,627360,-0.01,18
106/12/29,0.54,0.58,0.54,0.57,1169000,654590,0.00,24
107/01/02,0.56,0.58,0.51,0.51,1495000,816690,-0.06,26
107/01/03,0.49,0.51,0.46,0.48,609000,294660,-0.03,25
107/01/04,0.45,0.48,0.45,0.48,61000,28430,0.00,5
107/01/05,0.47,0.49,0.46,0.48,448000,214650,0.00,7
107/01/08,0.47,0.48,0.46,0.48,1022000,476790,0.00,10
107/01/09,0.47,0.48,0.45,0.46,275000,128780,-0.02,8
107/01/10,0.46,0.48,0.46,0.48,252000,117390,+0.02,5
107/01/11,0.47,0.50,0.47,0.49,305000,149800,+0.01,7
107/01/12,0.47,0.47,0.47,0.47,383000,180010,-0.02,4
107/01/15,0.45,0.48,0.45,0.47,222000,105640,0.00,6
107/01/16,0.47,0.47,0.47,0.47,150000,70500,0.00,1
