107/03/23,---,---,---,---,0,0,---,0
107/03/26,---,---,---,---,0,0,---,0
107/03/27,0.60,0.61,0.60,0.60,927000,562460,+0.04,5
107/03/28,0.57,0.57,0.56,0.56,927000,528380,-0.04,4
107/03/29,0.58,0.60,0.58,0.58,1083000,643430,+0.02,12
107/03/30,0.56,0.57,0.53,0.53,1106000,611860,-0.05,9
107/03/31,0.51,0.51,0.48,0.48,18000,8880,-0.05,2
107/04/02,0.49,0.49,0.47,0.47,60000,28400,-0.01,3
107/04/03,0.49,0.49,0.48,0.48,63000,30470,+0.01,4
107/04/09,0.47,0.51,0.47,0.48,179000,87190,0.00,9
107/04/10,0.49,0.51,0.49,0.49,388000,196340,+0.01,14
107/04/11,0.50,0.54,0.50,0.52,625000,329040,+0.03,20
107/04/12,0.51,0.51,0.48,0.48,696000,346690,-0.04,5
107/04/13,0.52,0.58,0.52,0.56,798000,436100,+0.08,22
107/04/16,0.51,0.54,0.50,0.51,1007000,516010,-0.05,14
107/04/17,0.51,0.52,0.48,0.48,139000,69390,-0.03,5
107/04/18,0.49,0.49,0.46,0.46,13000,6070,-0.02,2
107/04/19,0.51,0.69,0.51,0.69,5056000,2775300,+0.23,83
107/04/20,0.59,0.65,0.57,0.59,5773000,3483300,-0.10,94
107/04/23,0.61,0.67,0.59,0.59,4108000,2593910,0.00,85
107/04/24,0.66,0.66,0.50,0.51,1636000,963940,-0.08,56
107/04/25,0.48,0.57,0.48,0.55,1589000,846540,+0.04,34
107/04/26,0.56,0.59,0.50,0.50,317000,174900,-0.05,16
107/04/27,0.53,0.54,0.51,0.52,355000,186830,+0.02,6
107/04/30,0.55,0.55,0.52,0.52,1790000,955080,0.00,25
107/05/02,0.52,0.59,0.52,0.59,2802000,1529950,+0.07,41
107/05/03,0.56,0.63,0.55,0.57,2871000,1693980,-0.02,44
107/05/04,0.57,0.57,0.52,0.53,1035000,575030,-0.04,25
107/05/07,0.55,0.60,0.54,0.60,442000,252180,+0.07,26
107/05/08,0.66,0.75,0.65,0.72,3418000,2404090,+0.12,94
107/05/09,0.72,0.74,0.66,0.68,3270000,2320040,-0.04,92
107/05/10,0.70,0.71,0.63,0.71,1597000,1071820,+0.03,67
107/05/11,0.77,0.79,0.69,0.69,3537000,2671520,-0.02,110
107/05/14,0.80,0.85,0.72,0.85,3469000,2680740,+0.16,118
107/05/15,0.85,0.88,0.79,0.83,5363000,4470310,-0.02,142
107/05/16,0.86,1.03,0.85,0.98,6112000,5794730,+0.15,163
107/05/17,0.98,1.10,0.94,0.96,4485000,4618460,-0.02,141
107/05/18,0.98,1.04,0.92,1.01,3457000,3421840,+0.05,95
107/05/21,1.02,1.04,0.98,1.00,4378000,4415710,-0.01,88
107/05/22,1.00,1.01,0.84,0.85,2032000,1870220,-0.15,112
107/05/23,0.88,0.92,0.83,0.86,2923000,2568350,+0.01,85
107/05/24,0.87,0.88,0.83,0.86,1863000,1610030,0.00,57
107/05/25,0.83,0.95,0.81,0.91,2660000,2366180,+0.05,69
107/05/28,0.93,1.10,0.92,1.10,8159000,8148730,+0.19,180
107/05/29,1.08,1.25,1.05,1.13,11365000,13148900,+0.03,230
107/05/30,1.13,1.19,1.09,1.16,8296000,9483220,+0.03,149
107/05/31,1.28,1.44,1.17,1.25,8796000,11274640,+0.09,252
107/06/01,1.25,1.30,1.14,1.14,6061000,7407410,-0.11,152
107/06/04,1.15,1.17,1.08,1.14,6264000,7078430,0.00,141
107/06/05,1.14,1.14,0.90,0.99,5572000,5997680,-0.15,133
107/06/06,0.99,1.13,0.99,1.10,1547000,1651590,+0.11,59
107/06/07,1.14,1.14,1.03,1.04,3564000,3768750,-0.06,49
107/06/08,0.98,1.01,0.90,0.97,3121000,3058600,-0.07,60
107/06/11,1.06,1.21,1.03,1.21,4325000,4787200,+0.24,110
107/06/12,1.30,1.45,1.22,1.24,5599000,7393760,+0.03,163
107/06/13,1.27,1.27,1.07,1.12,3659000,4463020,-0.12,76
107/06/14,1.04,1.15,1.04,1.11,1934000,2160000,-0.01,28
107/06/15,1.11,1.16,1.09,1.09,1579000,1787630,-0.02,33
107/06/19,0.99,1.05,0.98,0.99,3637000,3694690,-0.10,42
107/06/20,0.99,0.99,0.82,0.86,2459000,2207330,-0.13,69
107/06/21,0.87,0.94,0.87,0.89,1926000,1732790,+0.03,26
107/06/22,0.84,0.85,0.80,0.80,1092000,919200,-0.09,17
107/06/25,0.80,0.81,0.72,0.72,1393000,1062320,-0.08,20
107/06/26,0.74,0.82,0.74,0.81,900000,706240,+0.09,29
107/06/27,0.83,0.86,0.78,0.83,1989000,1650670,+0.02,28
107/06/28,0.84,0.88,0.82,0.82,3078000,2649300,-0.01,26
107/06/29,0.83,0.85,0.80,0.85,860000,712380,+0.03,11
107/07/02,0.87,0.87,0.75,0.75,162000,129660,-0.10,16
107/07/03,0.75,0.76,0.70,0.70,464000,327540,-0.05,7
107/07/04,0.69,0.69,0.52,0.55,800000,465350,-0.15,26
107/07/05,0.55,0.59,0.54,0.54,128000,73410,-0.01,13
107/07/06,0.59,0.71,0.59,0.71,734000,476150,+0.17,21
107/07/09,0.78,0.78,0.68,0.69,549000,403920,-0.02,13
107/07/10,0.73,0.83,0.73,0.83,809000,643730,+0.14,28
107/07/11,0.77,0.84,0.74,0.83,670000,510040,0.00,12
107/07/12,0.83,0.83,0.82,0.83,32000,26400,0.00,5
107/07/13,0.88,0.91,0.83,0.83,120000,104950,0.00,17
107/07/16,0.84,0.91,0.83,0.87,654000,570430,+0.04,23
107/07/17,0.89,0.89,0.82,0.83,582000,510810,-0.04,19
107/07/18,0.81,0.81,0.75,0.75,72000,55860,-0.08,10
107/07/19,0.85,0.88,0.85,0.85,770000,660360,+0.10,14
107/07/20,0.90,0.95,0.77,0.80,1823000,1675490,-0.05,21
107/07/23,0.75,0.79,0.70,0.79,720000,527000,-0.01,21
107/07/24,0.78,0.82,0.78,0.82,536000,425110,+0.03,11
107/07/25,0.82,0.85,0.81,0.83,111000,91870,+0.01,6
107/07/26,0.84,0.86,0.82,0.85,564000,473990,+0.02,16
107/07/27,0.82,0.85,0.81,0.85,1147000,949440,0.00,26
107/07/30,0.81,0.81,0.77,0.77,704000,567900,-0.08,11
107/07/31,0.75,0.77,0.75,0.77,33000,24810,0.00,3
107/08/01,0.73,0.73,0.70,0.70,20000,14300,-0.07,2
107/08/02,0.68,0.69,0.56,0.56,90000,58410,-0.14,9
107/08/03,0.57,0.57,0.53,0.56,65000,36100,0.00,7
107/08/06,0.55,0.58,0.55,0.58,83000,47100,+0.02,6
107/08/07,0.60,0.63,0.60,0.63,35000,21450,+0.05,5
107/08/08,0.65,0.65,0.59,0.59,61000,38010,-0.04,6
107/08/09,0.60,0.62,0.60,0.61,70000,42690,+0.02,9
107/08/10,0.59,0.65,0.59,0.59,151000,91190,-0.02,5
107/08/13,0.45,0.45,0.43,0.43,65000,28650,-0.16,4
107/08/14,---,---,---,---,0,0,---,0
107/08/15,0.32,0.32,0.32,0.32,30000,9600,-0.09,2
107/08/16,0.30,0.30,0.30,0.30,4000,1200,-0.02,1
107/08/17,0.35,0.35,0.32,0.32,48000,16500,+0.02,2
107/08/20,0.31,0.31,0.31,0.31,5000,1550,-0.01,1
107/08/21,---,---,---,---,0,0,---,0
