107/04/26,0.83,0.91,0.83,0.90,331000,276320,-0.11,6
107/04/27,0.97,0.98,0.93,0.93,418000,397660,+0.03,7
107/04/30,0.94,0.94,0.89,0.90,706000,641670,-0.03,16
107/05/02,0.89,0.98,0.89,0.96,1518000,1430770,+0.06,24
107/05/03,0.97,1.05,0.96,0.97,2179000,2202550,+0.01,49
107/05/04,0.90,0.92,0.81,0.82,1087000,979770,-0.15,27
107/05/07,0.86,0.92,0.83,0.89,724000,632050,+0.07,20
107/05/08,0.91,1.00,0.90,0.95,2214000,2113040,+0.06,59
107/05/09,0.95,0.98,0.88,0.88,1696000,1595930,-0.07,63
107/05/10,0.90,0.98,0.85,0.98,1507000,1352780,+0.10,49
107/05/11,1.03,1.10,1.01,1.07,1689000,1788410,+0.09,55
107/05/14,1.05,1.28,1.02,1.27,3033000,3423300,+0.20,71
107/05/15,1.27,1.28,1.07,1.07,2711000,3325770,-0.20,53
107/05/16,1.11,1.33,1.09,1.09,2434000,2881600,+0.02,61
107/05/17,1.14,1.16,0.96,1.00,1301000,1443520,-0.09,40
107/05/18,1.02,1.06,0.97,1.01,765000,785110,+0.01,24
107/05/21,1.03,1.07,0.98,1.05,626000,637960,+0.04,17
107/05/22,1.08,1.08,0.95,0.97,356000,363280,-0.08,20
107/05/23,1.00,1.05,1.00,1.03,1113000,1140040,+0.06,23
107/05/24,0.98,1.00,0.97,1.00,952000,939690,-0.03,11
107/05/25,0.95,1.07,0.95,1.00,1178000,1163470,0.00,26
107/05/28,1.05,1.11,1.02,1.06,1439000,1535460,+0.06,39
107/05/29,1.07,1.14,1.03,1.07,1214000,1324680,+0.01,32
107/05/30,1.09,1.12,1.04,1.08,1687000,1856660,+0.01,34
107/05/31,1.13,1.18,1.03,1.06,2603000,2976340,-0.02,39
107/06/01,1.02,1.04,0.93,0.97,1579000,1560690,-0.09,24
107/06/04,0.93,0.95,0.90,0.90,148000,136040,-0.07,8
107/06/05,0.89,0.89,0.70,0.70,209000,171240,-0.20,6
107/06/06,0.66,0.76,0.65,0.76,448000,313630,+0.06,11
107/06/07,0.76,0.76,0.68,0.71,595000,428380,-0.05,9
107/06/08,0.68,0.68,0.55,0.56,485000,300720,-0.15,9
107/06/11,0.65,0.69,0.64,0.68,570000,380210,+0.12,22
107/06/12,0.71,0.75,0.70,0.75,1120000,815660,+0.07,30
107/06/13,0.77,0.79,0.68,0.71,869000,656340,-0.04,28
107/06/14,0.68,0.74,0.67,0.74,536000,375170,+0.03,26
107/06/15,0.74,0.74,0.70,0.73,546000,392970,-0.01,9
107/06/19,0.67,0.71,0.67,0.67,613000,423820,-0.06,15
107/06/20,0.67,0.67,0.58,0.58,466000,298140,-0.09,25
107/06/21,0.63,0.72,0.63,0.70,389000,265490,+0.12,9
107/06/22,0.69,0.88,0.65,0.66,555000,384210,-0.04,13
107/06/25,0.63,0.65,0.61,0.65,432000,277280,-0.01,11
107/06/26,0.69,0.74,0.69,0.71,1056000,754620,+0.06,30
107/06/27,0.65,0.65,0.63,0.65,1000000,643290,-0.06,26
107/06/28,0.66,0.68,0.66,0.68,334000,225840,+0.03,9
107/06/29,0.63,0.63,0.61,0.61,216000,133920,-0.07,4
107/07/02,0.54,0.54,0.54,0.54,24000,12960,-0.07,2
107/07/03,0.51,0.51,0.47,0.47,609000,300270,-0.07,12
107/07/04,0.45,0.45,0.38,0.40,687000,289470,-0.07,9
107/07/05,0.38,0.41,0.38,0.40,1202000,474040,0.00,10
107/07/06,0.39,0.43,0.37,0.43,1129000,453010,+0.03,21
107/07/09,0.46,0.48,0.43,0.47,761000,346520,+0.04,14
107/07/10,0.46,0.49,0.46,0.46,777000,368140,-0.01,15
107/07/11,0.41,0.43,0.40,0.43,223000,91020,-0.03,6
107/07/12,0.42,0.45,0.42,0.45,124000,55320,+0.02,8
107/07/13,0.48,0.49,0.48,0.49,207000,100000,+0.04,6
107/07/16,0.44,0.46,0.44,0.45,315000,142480,-0.04,5
107/07/17,0.46,0.46,0.45,0.45,216000,98280,0.00,2
107/07/18,0.45,0.46,0.43,0.43,376000,167340,-0.02,6
107/07/19,0.40,0.44,0.38,0.44,829000,339200,+0.01,12
107/07/20,0.47,0.49,0.46,0.49,453000,210900,+0.05,16
107/07/23,0.38,0.38,0.38,0.38,108000,41040,-0.11,1
107/07/24,0.38,0.39,0.38,0.39,283000,108620,+0.01,6
107/07/25,0.42,0.44,0.42,0.43,383000,166250,+0.04,14
107/07/26,0.44,0.44,0.43,0.43,624000,272480,0.00,3
107/07/27,0.39,0.39,0.36,0.39,636000,238640,-0.04,7
107/07/30,0.39,0.39,0.34,0.34,240000,91480,-0.05,3
107/07/31,0.34,0.34,0.32,0.32,28000,9360,-0.02,2
107/08/01,0.32,0.32,0.32,0.32,8000,2560,0.00,1
107/08/02,---,---,---,---,0,0,---,0
107/08/03,---,---,---,---,0,0,---,0
107/08/06,---,---,---,---,0,0,---,0
107/08/07,---,---,---,---,0,0,---,0
107/08/08,---,---,---,---,0,0,---,0
107/08/09,---,---,---,---,0,0,---,0
107/08/10,---,---,---,---,0,0,---,0
107/08/13,---,---,---,---,0,0,---,0
107/08/14,---,---,---,---,0,0,---,0
107/08/15,---,---,---,---,0,0,---,0
107/08/16,---,---,---,---,0,0,---,0
107/08/17,---,---,---,---,0,0,---,0
107/08/20,---,---,---,---,0,0,---,0
107/08/21,---,---,---,---,0,0,---,0
107/08/22,---,---,---,---,0,0,---,0
107/08/23,---,---,---,---,0,0,---,0
107/08/24,---,---,---,---,0,0,---,0
107/08/27,---,---,---,---,0,0,---,0
107/08/28,---,---,---,---,0,0,---,0
107/08/29,---,---,---,---,0,0,---,0
107/08/30,---,---,---,---,0,0,---,0
107/08/31,---,---,---,---,0,0,---,0
107/09/03,---,---,---,---,0,0,---,0
107/09/04,---,---,---,---,0,0,---,0
107/09/05,---,---,---,---,0,0,---,0
107/09/06,---,---,---,---,0,0,---,0
107/09/07,---,---,---,---,0,0,---,0
107/09/10,---,---,---,---,0,0,---,0
107/09/11,---,---,---,---,0,0,---,0
107/09/12,---,---,---,---,0,0,---,0
107/09/13,---,---,---,---,0,0,---,0
107/09/14,---,---,---,---,0,0,---,0
107/09/17,---,---,---,---,0,0,---,0
107/09/18,---,---,---,---,0,0,---,0
107/09/19,---,---,---,---,0,0,---,0
107/09/20,---,---,---,---,0,0,---,0
107/09/21,---,---,---,---,0,0,---,0
107/09/25,---,---,---,---,0,0,---,0
107/09/26,---,---,---,---,0,0,---,0
107/09/27,---,---,---,---,0,0,---,0
107/09/28,---,---,---,---,0,0,---,0
107/10/01,---,---,---,---,0,0,---,0
