106/12/05,---,---,---,---,0,0,---,0
106/12/06,1.04,1.08,1.03,1.08,413000,432270,+0.06,5
106/12/07,1.04,1.08,1.04,1.06,685000,734880,-0.02,11
106/12/08,0.99,1.01,0.99,1.01,339000,339390,-0.05,4
106/12/11,1.01,1.01,1.01,1.01,50000,50500,0.00,2
106/12/12,1.02,1.07,1.02,1.07,802000,838440,+0.06,12
106/12/13,1.09,1.09,1.03,1.04,854000,904570,-0.03,16
106/12/14,1.00,1.00,1.00,1.00,20000,20000,-0.04,1
106/12/15,1.05,1.07,1.05,1.06,1125000,1196780,+0.06,12
106/12/18,1.03,1.05,1.03,1.04,535000,558380,-0.02,5
106/12/19,1.03,1.06,1.03,1.06,89000,94100,+0.02,6
106/12/20,1.01,1.02,0.93,0.95,674000,647260,-0.11,11
106/12/21,1.00,1.02,1.00,1.02,12000,12210,+0.07,3
106/12/22,1.01,1.01,1.01,1.01,1000,1010,-0.01,1
106/12/25,0.99,0.99,0.98,0.98,10000,9850,-0.03,2
106/12/26,1.01,1.11,1.01,1.11,846000,897700,+0.13,24
106/12/27,1.09,1.13,1.08,1.13,1213000,1338120,+0.02,26
106/12/28,1.11,1.11,1.08,1.08,635000,694300,-0.05,14
106/12/29,1.07,1.10,1.07,1.09,270000,293800,+0.01,6
107/01/02,1.06,1.08,1.06,1.08,351000,377080,-0.01,7
107/01/03,1.04,1.04,0.97,0.98,357000,363160,-0.10,12
107/01/04,0.96,0.99,0.95,0.99,429000,416190,+0.01,11
107/01/05,0.98,1.02,0.98,1.02,674000,673210,+0.03,12
107/01/08,0.92,0.92,0.73,0.74,567000,467930,-0.28,13
107/01/09,0.78,0.79,0.77,0.77,332000,256840,+0.03,10
107/01/10,0.84,0.84,0.81,0.81,525000,434140,+0.04,12
107/01/11,0.80,0.81,0.80,0.81,344000,276640,0.00,4
107/01/12,0.76,0.77,0.75,0.75,304000,232400,-0.06,3
107/01/15,0.80,0.81,0.80,0.81,296000,236820,+0.06,3
107/01/16,0.79,0.79,0.79,0.79,80000,63200,-0.02,3
107/01/17,0.81,0.85,0.81,0.85,527000,431840,+0.06,9
107/01/18,0.80,0.82,0.80,0.81,368000,297890,-0.04,8
107/01/19,0.83,0.84,0.82,0.84,412000,344040,+0.03,6
107/01/22,0.82,0.83,0.82,0.83,410000,338100,-0.01,5
107/01/23,0.77,0.77,0.76,0.76,250000,192000,-0.07,3
107/01/24,0.73,0.76,0.72,0.75,808000,602180,-0.01,15
107/01/25,0.75,0.76,0.74,0.76,624000,470250,+0.01,17
107/01/26,0.80,0.87,0.80,0.85,719000,594570,+0.09,10
107/01/29,0.83,0.85,0.81,0.83,566000,473060,-0.02,10
107/01/30,0.83,0.85,0.83,0.85,253000,214990,+0.02,4
107/01/31,0.87,0.88,0.86,0.88,370000,321100,+0.03,7
107/02/01,0.85,0.85,0.84,0.84,150000,127000,-0.04,4
107/02/02,0.85,0.85,0.84,0.85,463000,393530,+0.01,7
107/02/05,0.90,0.94,0.89,0.94,525000,481930,+0.09,7
107/02/06,0.99,1.23,0.97,1.15,1978000,2129340,+0.21,27
107/02/07,1.02,1.02,0.92,0.95,1405000,1387660,-0.20,28
107/02/08,0.92,1.00,0.92,0.96,812000,775920,+0.01,10
107/02/09,1.01,1.01,0.92,0.94,434000,426950,-0.02,15
107/02/12,0.94,0.94,0.94,0.94,80000,75200,0.00,1
107/02/21,0.91,0.91,0.90,0.90,170000,153200,-0.04,4
107/02/22,0.93,0.94,0.93,0.94,317000,297560,+0.04,5
107/02/23,0.87,0.87,0.81,0.84,199000,169670,-0.10,5
107/02/26,0.84,0.84,0.84,0.84,42000,35280,0.00,2
107/02/27,0.83,0.87,0.83,0.87,110000,93700,+0.03,2
107/03/01,---,---,---,---,0,0,---,0
107/03/02,0.86,0.88,0.85,0.85,323000,281180,+0.01,4
107/03/05,0.87,0.92,0.87,0.90,519000,462080,+0.05,12
107/03/06,0.87,0.89,0.84,0.89,222000,192280,-0.01,7
107/03/07,0.85,0.85,0.81,0.82,25000,21090,-0.07,4
107/03/08,0.76,0.77,0.76,0.77,15000,11450,-0.05,2
107/03/09,0.72,0.74,0.72,0.74,192000,141240,-0.03,2
107/03/12,0.71,0.71,0.70,0.70,380000,268100,-0.04,5
107/03/13,0.64,0.64,0.62,0.62,170000,108400,-0.08,2
107/03/14,0.62,0.65,0.62,0.65,410000,262360,+0.03,6
107/03/15,0.64,0.65,0.63,0.63,423000,270710,-0.02,13
107/03/16,0.62,0.62,0.62,0.62,15000,9300,-0.01,1
107/03/19,0.56,0.56,0.56,0.56,200000,112000,-0.06,2
107/03/20,0.59,0.62,0.59,0.62,400000,242560,+0.06,12
107/03/21,0.60,0.62,0.59,0.62,416000,250580,0.00,13
107/03/22,0.59,0.65,0.58,0.65,636000,396610,+0.03,11
107/03/23,0.74,0.74,0.60,0.60,411000,300600,-0.05,10
107/03/26,0.58,0.60,0.48,0.48,520000,305600,-0.12,5
107/03/27,0.43,0.45,0.41,0.45,531000,225520,-0.03,12
107/03/28,0.50,0.50,0.50,0.50,10000,5000,+0.05,1
107/03/29,0.52,0.52,0.52,0.52,200000,104000,+0.02,2
107/03/30,0.50,0.50,0.46,0.46,200000,97720,-0.06,8
107/03/31,0.46,0.46,0.46,0.46,200000,92000,0.00,1
107/04/02,0.43,0.44,0.43,0.44,220000,96600,-0.02,3
107/04/03,0.46,0.48,0.46,0.48,20000,9400,+0.04,2
107/04/09,0.52,0.52,0.52,0.52,200000,104000,+0.04,2
107/04/10,0.52,0.57,0.52,0.57,613000,335090,+0.05,7
107/04/11,0.52,0.55,0.52,0.55,413000,218000,-0.02,5
107/04/12,---,---,---,---,0,0,---,0
107/04/13,0.57,0.60,0.57,0.60,633000,370800,+0.03,4
107/04/16,0.58,0.58,0.58,0.58,633000,367140,-0.02,5
107/04/17,0.59,0.65,0.59,0.65,401000,244650,+0.07,4
107/04/18,0.63,0.68,0.60,0.65,628000,400000,0.00,10
107/04/19,0.62,0.65,0.62,0.65,254000,162070,0.00,8
107/04/20,0.59,0.59,0.57,0.59,44000,25760,-0.06,3
107/04/23,0.62,0.63,0.61,0.63,33000,20390,+0.04,6
107/04/24,0.62,0.82,0.62,0.77,857000,642760,+0.14,19
107/04/25,0.82,0.82,0.70,0.70,856000,671640,-0.07,20
107/04/26,0.66,0.79,0.66,0.78,474000,364600,+0.08,13
107/04/27,0.79,0.79,0.72,0.75,420000,315200,-0.03,5
107/04/30,0.76,0.76,0.76,0.76,6000,4560,+0.01,1
107/05/02,---,---,---,---,0,0,---,0
107/05/03,0.80,0.85,0.80,0.85,546000,449700,+0.10,6
107/05/04,0.87,0.88,0.79,0.79,609000,523230,-0.06,9
107/05/07,0.69,0.69,0.69,0.69,63000,43470,-0.10,1
107/05/08,0.72,0.75,0.72,0.75,368000,265870,+0.06,5
107/05/09,0.75,0.77,0.75,0.77,365000,277710,+0.02,4
107/05/10,---,---,---,---,0,0,---,0
107/05/11,---,---,---,---,0,0,---,0
107/05/14,0.52,0.53,0.52,0.53,249000,130060,-0.13,2
107/05/15,0.37,0.42,0.36,0.42,449000,176120,-0.11,4
107/05/16,0.38,0.38,0.38,0.38,200000,76000,-0.04,2
107/05/17,---,---,---,---,0,0,---,0
107/05/18,0.38,0.38,0.38,0.38,200000,76000,+0.02,1
107/05/21,0.27,0.28,0.27,0.28,200000,55000,-0.10,2
107/05/22,0.30,0.30,0.30,0.30,200000,60000,+0.02,1
107/05/23,0.31,0.31,0.31,0.31,200000,62000,+0.01,2
107/05/24,---,---,---,---,0,0,---,0
107/05/25,0.20,0.21,0.19,0.20,466000,93200,-0.01,5
107/05/28,---,---,---,---,0,0,---,0
107/05/29,0.16,0.17,0.16,0.17,461000,75670,-0.04,2
