107/04/09,---,---,---,---,0,0,---,0
107/04/10,1.24,1.25,1.24,1.25,178000,221070,+0.03,4
107/04/11,1.21,1.24,1.21,1.24,188000,229400,-0.01,4
107/04/12,1.21,1.21,1.21,1.21,25000,30250,-0.03,1
107/04/13,1.25,1.26,1.25,1.26,115000,144750,+0.05,3
107/04/16,1.26,1.29,1.25,1.29,312000,397430,+0.03,4
107/04/17,1.27,1.37,1.27,1.37,613000,808880,+0.08,15
107/04/18,1.31,1.36,1.30,1.30,901000,1196760,-0.07,17
107/04/19,1.26,1.26,1.19,1.23,592000,731810,-0.07,11
107/04/20,1.28,1.28,1.19,1.19,167000,210600,-0.04,7
107/04/23,1.26,1.52,1.26,1.52,1432000,1963380,+0.33,27
107/04/24,1.60,1.83,1.60,1.64,2382000,4064200,+0.12,72
107/04/25,1.72,1.72,1.48,1.58,1079000,1686870,-0.06,29
107/04/26,1.58,1.62,1.47,1.47,48000,73570,-0.11,8
107/04/27,1.54,1.55,1.48,1.51,304000,462330,+0.04,25
107/04/30,1.52,1.52,1.49,1.49,140000,211620,-0.02,4
107/05/02,1.32,1.38,1.32,1.37,234000,312850,-0.12,13
107/05/03,1.35,1.40,1.35,1.40,221000,301900,+0.03,10
107/05/04,1.37,1.40,1.37,1.40,263000,365610,0.00,14
107/05/07,1.39,1.41,1.38,1.38,289000,404910,-0.02,9
107/05/08,1.39,1.39,1.26,1.28,870000,1145530,-0.10,30
107/05/09,1.29,1.29,1.15,1.20,987000,1187510,-0.08,21
107/05/10,1.21,1.33,1.21,1.28,1566000,2005300,+0.08,22
107/05/11,1.24,1.29,1.23,1.26,581000,732460,-0.02,14
107/05/14,1.17,1.20,1.10,1.11,213000,245300,-0.15,13
107/05/15,1.17,1.17,1.12,1.15,187000,215860,+0.04,5
107/05/16,1.11,1.11,1.06,1.06,190000,207680,-0.09,6
107/05/17,1.03,1.15,1.03,1.09,920000,1017260,+0.03,17
107/05/18,1.07,1.19,1.07,1.18,1282000,1405380,+0.09,24
107/05/21,1.16,1.21,1.14,1.14,576000,678040,-0.04,18
107/05/22,1.15,1.15,1.09,1.09,555000,623720,-0.05,12
107/05/23,1.13,1.18,1.11,1.18,765000,878330,+0.09,16
107/05/24,1.18,1.18,1.06,1.07,505000,571300,-0.11,14
107/05/25,1.08,1.13,1.06,1.13,452000,490660,+0.06,13
107/05/28,1.09,1.11,1.07,1.09,564000,616100,-0.04,9
107/05/29,1.08,1.13,1.08,1.13,1126000,1246000,+0.04,17
107/05/30,1.14,1.15,1.10,1.10,1437000,1633640,-0.03,26
107/05/31,1.08,1.10,0.97,1.03,961000,1020350,-0.07,20
107/06/01,1.03,1.04,0.99,0.99,324000,332050,-0.04,8
107/06/04,0.91,0.95,0.78,0.81,749000,634390,-0.18,28
107/06/05,0.85,0.86,0.78,0.83,1362000,1115330,+0.02,24
107/06/06,0.81,0.82,0.73,0.77,1877000,1437740,-0.06,21
107/06/07,0.78,0.88,0.78,0.88,2497000,2086930,+0.11,25
107/06/08,0.88,0.91,0.87,0.88,1562000,1392170,0.00,18
107/06/11,0.85,0.85,0.82,0.85,442000,372200,-0.03,8
107/06/12,0.87,0.87,0.83,0.83,559000,482190,-0.02,6
107/06/13,0.80,0.83,0.80,0.80,367000,295540,-0.03,7
107/06/14,0.82,0.83,0.81,0.83,504000,413800,+0.03,7
107/06/15,0.79,0.79,0.64,0.65,2355000,1639150,-0.18,42
107/06/19,0.69,0.73,0.69,0.73,1467000,1037940,+0.08,13
107/06/20,0.75,0.79,0.65,0.71,2157000,1610960,-0.02,25
107/06/21,0.71,0.73,0.69,0.69,763000,547960,-0.02,10
107/06/22,0.74,0.78,0.73,0.78,2026000,1530520,+0.09,18
107/06/25,0.76,0.80,0.74,0.74,2174000,1691750,-0.04,17
107/06/26,0.74,0.75,0.67,0.75,810000,573850,+0.01,21
107/06/27,0.73,0.73,0.65,0.66,401000,273030,-0.09,17
107/06/28,0.67,0.69,0.55,0.62,967000,582130,-0.04,27
107/06/29,0.60,0.65,0.60,0.63,1107000,683410,+0.01,20
107/07/02,0.59,0.59,0.51,0.55,2454000,1311380,-0.08,37
107/07/03,0.48,0.64,0.48,0.64,4317000,2461240,+0.09,43
107/07/04,0.57,0.63,0.56,0.56,2608000,1580830,-0.08,32
107/07/05,0.54,0.54,0.47,0.53,1384000,688260,-0.03,25
