93/08/26,--,--,--,--,0,0,,0
93/08/27,30.10,30.10,30.10,30.10,3000,90300,X,2
93/08/30,--,--,--,--,0,0,,0
93/08/31,--,--,--,--,0,0,,0
93/09/01,--,--,--,--,0,0,,0
93/09/02,--,--,--,--,0,0,,0
93/09/03,--,--,--,--,0,0,,0
93/09/06,--,--,--,--,0,0,,0
93/09/07,--,--,--,--,0,0,,0
93/09/08,--,--,--,--,0,0,,0
93/09/09,--,--,--,--,0,0,,0
93/09/10,--,--,--,--,0,0,,0
93/09/13,--,--,--,--,0,0,,0
93/09/14,--,--,--,--,0,0,,0
93/09/15,--,--,--,--,0,0,,0
