109/11/13,---,---,---,---,0,0,---,0
109/11/16,0.72,0.72,0.72,0.72,5000,3600,-0.18,1
109/11/17,0.78,0.80,0.78,0.80,35000,27800,+0.08,4
109/11/18,0.74,0.74,0.72,0.72,29000,21160,-0.08,4
109/11/19,0.70,0.70,0.66,0.67,54000,36180,-0.05,5
109/11/20,0.67,0.69,0.67,0.68,164000,112090,+0.01,11
109/11/23,0.71,0.71,0.66,0.68,209000,145140,0.00,17
109/11/24,0.67,0.68,0.65,0.67,242000,161370,-0.01,13
109/11/25,0.68,0.81,0.67,0.76,588000,430820,+0.09,38
109/11/26,0.73,0.76,0.72,0.76,288000,212180,0.00,20
109/11/27,0.79,0.81,0.77,0.77,233000,182820,+0.01,14
109/11/30,0.76,0.76,0.70,0.72,144000,104560,-0.05,8
109/12/01,0.74,0.74,0.71,0.71,25000,18050,-0.01,2
109/12/02,0.72,0.73,0.72,0.73,115000,83800,+0.02,2
109/12/03,0.74,0.74,0.71,0.71,100000,72500,-0.02,2
109/12/04,0.69,0.72,0.67,0.72,609000,421010,+0.01,4
109/12/07,0.74,0.74,0.68,0.68,594000,417600,-0.04,6
109/12/08,0.67,0.67,0.53,0.53,270000,158150,-0.15,20
109/12/09,0.52,0.52,0.42,0.48,454000,218460,-0.05,21
109/12/10,0.48,0.49,0.45,0.45,924000,426830,-0.03,25
109/12/11,0.49,0.70,0.49,0.70,375000,199500,+0.25,17
109/12/14,0.64,0.70,0.64,0.68,98000,64170,-0.02,10
109/12/15,0.72,0.75,0.72,0.73,300000,221770,+0.05,8
109/12/16,0.68,0.72,0.68,0.72,563000,388360,-0.01,8
109/12/17,0.70,0.70,0.68,0.68,353000,246640,-0.04,2
109/12/18,0.70,0.70,0.70,0.70,50000,35000,+0.02,1
109/12/21,0.74,0.78,0.74,0.78,127000,95620,+0.08,5
109/12/22,0.73,0.73,0.69,0.70,347000,244310,-0.08,7
109/12/23,0.68,0.68,0.67,0.67,200000,134010,-0.03,2
109/12/24,0.68,0.68,0.68,0.68,50000,34000,+0.01,1
109/12/25,0.68,0.68,0.68,0.68,50000,34000,0.00,1
109/12/28,---,---,---,---,0,0,---,0
109/12/29,0.64,0.64,0.63,0.64,74000,47210,-0.02,3
109/12/30,0.62,0.62,0.62,0.62,10000,6200,-0.02,1
109/12/31,0.52,0.52,0.50,0.51,77000,39090,-0.11,4
