109/11/02,---,---,---,---,0,0,---,0
109/11/03,1.02,1.02,1.02,1.02,22000,22440,+0.04,1
109/11/04,1.02,1.06,1.02,1.06,176000,184680,+0.04,8
109/11/05,1.06,1.12,1.06,1.11,312000,338410,+0.05,13
109/11/06,1.12,1.22,1.12,1.22,297000,344060,+0.11,11
109/11/09,1.15,1.20,1.14,1.20,394000,460200,-0.02,8
109/11/10,1.16,1.16,1.15,1.16,246000,285280,-0.04,3
109/11/11,1.03,1.04,1.03,1.04,12000,12450,-0.12,2
109/11/12,1.06,1.06,1.06,1.06,3000,3180,+0.02,1
109/11/13,1.06,1.07,1.06,1.07,400000,426000,+0.01,2
109/11/16,1.08,1.08,1.06,1.07,410000,438700,0.00,3
109/11/17,1.07,1.07,1.07,1.07,20000,21400,0.00,2
109/11/18,1.03,1.06,1.03,1.06,92000,95790,-0.01,5
109/11/19,1.04,1.04,1.04,1.04,72000,74880,-0.02,2
109/11/20,1.04,1.07,1.04,1.06,522000,552590,+0.02,14
109/11/23,1.07,1.09,1.07,1.08,219000,237330,+0.02,7
109/11/24,1.02,1.02,1.02,1.02,56000,57120,-0.06,1
109/11/25,1.00,1.00,1.00,1.00,2000,2000,-0.02,1
109/11/26,0.97,0.97,0.97,0.97,15000,14550,-0.03,2
109/11/27,0.97,0.98,0.96,0.98,250000,240150,+0.01,3
109/11/30,1.00,1.00,1.00,1.00,5000,5000,+0.02,1
109/12/01,0.94,0.94,0.94,0.94,10000,9400,-0.06,1
109/12/02,0.92,0.93,0.92,0.93,13000,11990,-0.01,3
109/12/03,0.90,0.90,0.85,0.87,581000,494120,-0.06,4
109/12/04,0.87,0.87,0.87,0.87,5000,4350,0.00,1
