108/07/19,1.10,1.10,1.09,1.09,38000,41700,+0.03,9
108/07/22,1.10,1.10,1.06,1.06,71000,77240,-0.03,10
108/07/23,0.98,1.03,0.98,1.03,83000,84740,-0.03,2
108/07/24,1.00,1.06,1.00,1.06,353000,365100,+0.03,4
108/07/25,1.07,1.09,1.07,1.09,320000,343900,+0.03,4
108/07/26,1.08,1.08,1.06,1.06,104000,112040,-0.03,4
108/07/29,1.04,1.06,1.04,1.06,326000,343020,0.00,6
108/07/30,1.02,1.02,1.00,1.01,276000,279940,-0.05,6
108/07/31,1.00,1.00,1.00,1.00,5000,5000,-0.01,2
108/08/01,1.00,1.01,1.00,1.01,25000,25100,+0.01,4
108/08/02,---,---,---,---,0,0,---,0
108/08/05,0.96,1.03,0.96,1.01,434000,427210,+0.06,14
108/08/06,0.94,1.03,0.94,1.02,681000,675240,+0.01,17
108/08/07,1.03,1.04,0.96,0.96,148000,152370,-0.06,9
108/08/08,0.97,0.97,0.96,0.96,20000,19300,0.00,2
108/08/12,0.96,0.96,0.90,0.90,95000,88600,-0.06,7
108/08/13,0.86,0.86,0.82,0.82,53000,45260,-0.08,2
108/08/14,0.86,0.88,0.86,0.88,318000,274200,+0.06,5
108/08/15,0.83,0.88,0.80,0.88,403000,332860,0.00,10
108/08/16,0.89,0.89,0.87,0.87,85000,74350,-0.01,3
108/08/19,0.92,0.93,0.92,0.93,195000,180150,+0.06,4
108/08/20,0.91,0.94,0.91,0.94,222000,205840,+0.01,5
108/08/21,0.94,1.15,0.94,1.12,1029000,1059130,+0.18,51
108/08/22,1.14,1.20,1.05,1.08,1089000,1231810,-0.04,51
108/08/23,1.10,1.15,1.05,1.15,386000,423490,+0.07,30
108/08/26,1.04,1.04,1.00,1.00,279000,287180,-0.15,12
108/08/27,1.07,1.24,1.03,1.17,317000,361950,+0.17,54
108/08/28,1.21,1.28,1.20,1.23,447000,555680,+0.06,36
108/08/29,1.20,1.32,1.20,1.20,165000,202520,-0.03,10
108/08/30,1.22,1.22,1.16,1.17,36000,42200,-0.03,5
108/09/02,1.19,1.19,1.16,1.16,34000,40160,-0.01,4
108/09/03,1.17,1.21,1.14,1.21,310000,360900,+0.05,6
108/09/04,1.25,1.27,1.21,1.23,230000,289900,+0.02,9
108/09/05,1.26,1.26,1.19,1.19,93000,112890,-0.04,6
108/09/06,1.19,1.26,1.17,1.24,434000,523520,+0.05,18
108/09/09,1.18,1.19,1.11,1.18,422000,497140,-0.06,19
108/09/10,1.00,1.00,1.00,1.00,3000,3000,-0.18,1
108/09/11,1.03,1.03,1.03,1.03,37000,38110,+0.03,1
108/09/12,---,---,---,---,0,0,---,0
108/09/16,0.85,0.91,0.85,0.91,25000,21850,-0.12,3
108/09/17,0.87,0.95,0.87,0.95,117000,107900,+0.04,5
108/09/18,0.96,0.96,0.95,0.95,115000,109580,0.00,3
108/09/19,0.94,0.94,0.94,0.94,33000,31020,-0.01,1
108/09/20,0.94,0.96,0.94,0.96,22000,21020,+0.02,3
108/09/23,0.91,0.91,0.91,0.91,1000,910,-0.05,1
108/09/24,0.91,0.91,0.90,0.90,50000,45100,-0.01,2
108/09/25,0.88,0.91,0.88,0.91,66000,59070,+0.01,2
108/09/26,0.89,0.89,0.86,0.86,66000,58230,-0.05,2
