109/04/17,---,---,---,---,0,0,---,0
109/04/20,3.17,3.42,3.17,3.42,26000,86420,+0.45,2
109/04/21,4.01,4.33,3.88,4.18,152000,621100,+0.76,19
109/04/22,4.09,4.29,3.89,3.97,100000,417910,-0.21,10
109/04/23,3.98,3.98,3.66,3.73,68000,256110,-0.24,10
109/04/24,3.57,3.65,3.57,3.62,78000,282230,-0.11,9
109/04/27,3.65,3.81,3.60,3.77,98000,361250,+0.15,11
109/04/28,3.72,3.72,3.61,3.61,148000,539010,-0.16,10
109/04/29,3.45,3.89,3.45,3.89,219000,809440,+0.28,9
109/04/30,3.77,3.85,3.73,3.76,161000,610770,-0.13,10
