109/10/26,---,---,---,---,0,0,---,0
109/10/27,0.80,0.80,0.80,0.80,1000,800,-0.02,1
109/10/28,0.78,0.78,0.74,0.74,20000,15400,-0.06,3
109/10/29,0.81,0.82,0.80,0.81,53000,42740,+0.07,5
109/10/30,0.82,0.82,0.80,0.80,492000,398460,-0.01,14
109/11/02,0.80,0.87,0.80,0.85,395000,334660,+0.05,29
109/11/03,0.83,0.85,0.81,0.85,208000,172960,0.00,12
109/11/04,0.82,0.84,0.80,0.80,168000,137670,-0.05,17
109/11/05,0.78,0.78,0.75,0.76,202000,156480,-0.04,11
109/11/06,0.73,0.77,0.72,0.76,186000,137860,0.00,9
109/11/09,0.72,0.72,0.69,0.72,361000,254470,-0.04,23
109/11/10,0.72,0.73,0.72,0.73,63000,45820,+0.01,4
109/11/11,0.71,0.73,0.71,0.71,199000,142390,-0.02,6
109/11/12,0.72,0.73,0.72,0.72,72000,51990,+0.01,3
109/11/13,0.73,0.75,0.73,0.73,69000,50710,+0.01,7
109/11/16,0.68,0.68,0.61,0.61,65000,41140,-0.12,7
109/11/17,0.57,0.64,0.57,0.64,30000,18500,+0.03,3
109/11/18,0.62,0.62,0.60,0.60,24000,14800,-0.04,2
109/11/19,0.60,0.60,0.56,0.56,33000,19100,-0.04,4
109/11/20,0.57,0.59,0.57,0.59,83000,48510,+0.03,14
109/11/23,0.53,0.59,0.53,0.59,15000,8550,0.00,2
109/11/24,0.59,0.62,0.57,0.57,50000,29650,-0.02,5
109/11/25,0.59,0.61,0.58,0.61,95000,56380,+0.04,7
109/11/26,0.59,0.59,0.59,0.59,58000,34220,-0.02,4
109/11/27,0.58,0.59,0.58,0.59,35000,20500,0.00,4
