109/12/10,---,---,---,---,0,0,---,0
109/12/11,1.20,1.27,1.20,1.21,267000,328340,+0.06,7
109/12/14,1.14,1.14,1.08,1.08,267000,294460,-0.13,7
109/12/15,1.08,1.08,1.08,1.08,5000,5400,0.00,1
109/12/16,1.13,1.16,1.13,1.16,197000,225920,+0.08,7
109/12/17,1.19,1.19,1.12,1.13,202000,235970,-0.03,8
109/12/18,---,---,---,---,0,0,---,0
109/12/21,0.92,0.92,0.92,0.92,3000,2760,-0.14,1
109/12/22,0.99,1.05,0.99,1.05,289000,298930,+0.13,6
109/12/23,0.99,1.00,0.94,1.00,549000,537150,-0.05,10
109/12/24,1.05,1.05,1.03,1.03,263000,272390,+0.03,6
109/12/25,1.06,1.06,1.06,1.06,75000,79500,+0.03,1
109/12/28,1.09,1.12,1.09,1.10,142000,156690,+0.04,4
109/12/29,1.12,1.14,1.12,1.13,155000,174750,+0.03,7
109/12/30,1.20,1.20,1.13,1.13,291000,334260,0.00,5
109/12/31,1.13,1.14,1.12,1.14,277000,313280,+0.01,6
