109/07/27,---,---,---,---,0,0,---,0
109/07/28,1.32,1.36,1.32,1.36,272000,362890,+0.08,7
109/07/29,1.28,1.36,1.24,1.36,345000,446980,0.00,17
109/07/30,1.33,1.33,1.29,1.29,181000,237360,-0.07,8
109/07/31,1.30,1.38,1.30,1.38,566000,760560,+0.09,13
109/08/03,1.33,1.36,1.32,1.32,596000,808290,-0.06,15
109/08/04,1.33,1.33,1.30,1.30,22000,28660,-0.02,2
109/08/05,1.37,1.59,1.37,1.57,1269000,1862410,+0.27,45
109/08/06,1.52,1.56,1.47,1.47,1171000,1746220,-0.10,25
109/08/07,1.44,1.54,1.44,1.45,269000,404730,-0.02,13
