108/11/14,1.52,1.52,1.52,1.52,1000,1520,-0.02,1
108/11/15,1.47,1.71,1.47,1.67,630000,1013740,+0.15,30
108/11/18,1.81,2.11,1.58,1.58,1112000,2090660,-0.09,86
108/11/19,1.52,1.52,1.15,1.28,842000,1145900,-0.30,45
108/11/20,1.23,1.32,1.20,1.22,608000,761510,-0.06,10
108/11/21,1.15,1.26,1.15,1.26,398000,498890,+0.04,10
108/11/22,1.24,1.28,1.15,1.16,134000,166270,-0.10,11
108/11/25,1.20,1.24,1.17,1.17,405000,488890,+0.01,30
108/11/26,1.20,1.34,1.19,1.33,846000,1082640,+0.16,37
108/11/27,1.37,1.64,1.32,1.59,1819000,2663240,+0.26,115
108/11/28,1.48,1.68,1.48,1.53,2034000,3148430,-0.06,81
108/11/29,1.55,1.55,1.33,1.33,809000,1194020,-0.20,30
108/12/02,1.19,1.26,1.16,1.26,139000,168320,-0.07,9
108/12/03,1.40,1.40,1.32,1.32,132000,177760,+0.06,11
108/12/04,1.27,1.27,1.25,1.25,108000,136560,-0.07,5
108/12/05,1.30,1.50,1.30,1.49,517000,709590,+0.24,53
108/12/06,1.57,1.68,1.44,1.45,546000,851940,-0.04,42
108/12/09,1.49,1.68,1.38,1.61,823000,1316280,+0.16,43
108/12/10,1.68,1.96,1.59,1.80,1777000,3101140,+0.19,117
108/12/11,1.94,2.85,1.89,2.85,1154000,2418680,+1.05,131
108/12/12,2.60,3.28,2.57,3.25,590000,1703330,+0.40,81
108/12/13,4.00,4.00,2.97,2.97,164000,611650,-0.28,24
108/12/16,3.20,3.46,3.20,3.46,20000,66600,+0.49,3
108/12/17,3.27,3.46,3.17,3.46,37000,124670,0.00,5
108/12/18,3.33,3.40,3.33,3.40,52000,175060,-0.06,4
108/12/19,3.38,3.38,3.38,3.38,10000,33800,-0.02,1
108/12/20,2.88,2.88,2.88,2.88,1000,2880,-0.50,1
108/12/23,2.72,2.73,2.69,2.73,44000,120020,-0.15,4
108/12/24,2.77,2.90,2.65,2.86,98000,269060,+0.13,8
