107/08/27,---,---,---,---,0,0,---,0
107/08/28,---,---,---,---,0,0,---,0
107/08/29,---,---,---,---,0,0,---,0
107/08/30,---,---,---,---,0,0,---,0
107/08/31,---,---,---,---,0,0,---,0
107/09/03,1.10,1.12,1.10,1.12,110000,121200,-0.02,2
107/09/04,1.11,1.11,1.10,1.10,20000,22100,-0.02,2
107/09/05,---,---,---,---,0,0,---,0
107/09/06,1.15,1.15,1.13,1.13,27000,30550,+0.02,3
107/09/07,1.12,1.16,1.10,1.14,102000,116290,+0.01,7
107/09/10,1.21,1.84,1.21,1.84,577000,763870,+0.70,25
107/09/11,1.37,1.57,1.37,1.51,830000,1182820,-0.33,38
107/09/12,1.45,1.52,1.45,1.51,749000,1121350,0.00,32
107/09/13,1.47,1.50,1.46,1.48,346000,511180,-0.03,16
107/09/14,1.48,1.50,1.38,1.40,661000,948590,-0.08,24
107/09/17,1.43,1.57,1.43,1.51,1119000,1681630,+0.11,42
107/09/18,1.57,1.65,1.53,1.63,1360000,2190210,+0.12,44
107/09/19,1.63,1.63,1.43,1.44,2016000,2997880,-0.19,74
107/09/20,1.49,1.52,1.47,1.49,1410000,2095170,+0.05,39
107/09/21,1.44,1.44,1.42,1.44,688000,982520,-0.05,23
107/09/25,1.48,1.49,1.35,1.42,424000,599660,-0.02,26
107/09/26,1.37,1.42,1.37,1.41,95000,132800,-0.01,7
107/09/27,1.43,1.60,1.43,1.50,645000,949730,+0.09,35
107/09/28,1.46,1.61,1.46,1.54,1971000,3071750,+0.04,65
107/10/01,1.54,1.59,1.50,1.50,1290000,1993340,-0.04,39
107/10/02,1.54,1.56,1.52,1.54,1716000,2649770,+0.04,40
107/10/03,1.51,1.51,1.43,1.48,1732000,2548960,-0.06,65
107/10/04,1.48,1.54,1.48,1.52,2021000,3049280,+0.04,64
107/10/05,1.51,1.64,1.50,1.59,3234000,5054290,+0.07,65
107/10/08,1.65,1.90,1.61,1.86,4137000,7195820,+0.27,105
107/10/09,1.86,2.02,1.84,1.85,3985000,7645560,-0.01,115
107/10/11,2.07,2.28,2.01,2.28,906000,1853370,+0.43,37
107/10/12,2.05,2.05,1.89,1.95,1199000,2352140,-0.33,59
107/10/15,1.99,1.99,1.80,1.85,1022000,1902250,-0.10,63
107/10/16,1.80,1.92,1.78,1.87,617000,1142400,+0.02,42
107/10/17,1.79,1.88,1.78,1.88,1166000,2151790,+0.01,46
107/10/18,1.89,1.99,1.89,1.95,990000,1927360,+0.07,63
107/10/19,2.08,2.08,1.89,1.89,1745000,3504170,-0.06,68
107/10/22,1.91,1.91,1.82,1.85,382000,711700,-0.04,25
107/10/23,1.86,1.90,1.84,1.90,1212000,2279760,+0.05,35
107/10/24,1.85,1.91,1.82,1.85,955000,1775310,-0.05,38
107/10/25,1.99,1.99,1.87,1.95,1337000,2592610,+0.10,50
107/10/26,1.86,2.02,1.86,2.02,1680000,3269110,+0.07,63
107/10/29,2.02,2.24,2.00,2.16,3745000,8011190,+0.14,156
107/10/30,2.08,2.12,1.97,1.97,2577000,5281430,-0.19,116
107/10/31,1.96,1.96,1.73,1.74,1813000,3218120,-0.23,124
107/11/01,1.74,1.75,1.52,1.59,3465000,5436050,-0.15,121
107/11/02,1.56,1.58,1.47,1.53,1762000,2688020,-0.06,79
107/11/05,1.57,1.57,1.47,1.47,417000,628150,-0.06,29
107/11/06,1.35,1.56,1.35,1.50,1666000,2404730,+0.03,75
107/11/07,1.46,1.51,1.42,1.43,886000,1285560,-0.07,46
107/11/08,1.35,1.38,1.23,1.36,3110000,4020580,-0.07,139
107/11/09,1.34,1.34,1.27,1.33,1153000,1504090,-0.03,74
107/11/12,1.33,1.38,1.26,1.37,964000,1247550,+0.04,73
107/11/13,1.46,1.46,1.30,1.33,890000,1200360,-0.04,65
107/11/14,1.26,1.26,1.15,1.26,2006000,2421070,-0.07,84
107/11/15,1.17,1.21,1.17,1.17,770000,914190,-0.09,45
107/11/16,1.15,1.15,1.09,1.12,894000,995230,-0.05,55
107/11/19,1.04,1.30,1.02,1.18,2531000,2716590,+0.06,115
107/11/20,1.14,1.19,1.12,1.19,2041000,2378660,+0.01,73
107/11/21,1.21,1.22,1.08,1.09,2295000,2596080,-0.10,78
107/11/22,1.07,1.17,1.06,1.17,2351000,2585560,+0.08,74
107/11/23,1.12,1.21,1.12,1.19,1969000,2287770,+0.02,66
107/11/26,1.12,1.16,1.11,1.13,791000,903410,-0.06,30
107/11/27,1.09,1.13,1.04,1.04,2376000,2567840,-0.09,178
107/11/28,1.01,1.03,1.00,1.01,958000,970610,-0.03,46
107/11/29,0.92,0.97,0.91,0.97,2292000,2145110,-0.04,60
107/11/30,0.96,0.96,0.93,0.95,207000,196220,-0.02,16
107/12/03,0.88,0.90,0.85,0.90,1780000,1545680,-0.05,56
107/12/04,0.88,0.91,0.85,0.87,1035000,926340,-0.03,51
107/12/05,0.87,1.02,0.87,1.02,2650000,2598630,+0.15,68
107/12/06,0.95,1.05,0.94,1.00,2506000,2446670,-0.02,57
107/12/07,1.00,1.00,0.93,0.96,1042000,1000430,-0.04,47
107/12/10,1.03,1.13,1.03,1.11,1975000,2139300,+0.15,45
107/12/11,1.09,1.09,1.03,1.03,1172000,1218110,-0.08,36
107/12/12,0.99,0.99,0.93,0.95,761000,722020,-0.08,35
107/12/13,0.96,0.96,0.91,0.93,1158000,1059600,-0.02,18
107/12/14,0.97,0.97,0.93,0.95,298000,283070,+0.02,14
107/12/17,0.94,0.94,0.90,0.92,331000,302250,-0.03,9
107/12/18,0.92,0.93,0.92,0.93,180000,167000,+0.01,9
107/12/19,0.93,0.94,0.92,0.94,96000,89700,+0.01,6
107/12/20,0.96,1.03,0.95,1.01,560000,545680,+0.07,28
107/12/21,1.02,1.11,1.00,1.01,960000,1014990,0.00,61
107/12/22,1.02,1.05,1.00,1.04,499000,506630,+0.03,19
107/12/24,1.01,1.03,0.97,0.97,449000,448010,-0.07,28
107/12/25,1.01,1.02,1.01,1.02,133000,134710,+0.05,16
107/12/26,0.95,0.99,0.95,0.99,106000,103030,-0.03,7
107/12/27,0.91,0.94,0.91,0.94,65000,59920,-0.05,9
107/12/28,0.95,0.95,0.95,0.95,11000,10450,+0.01,1
108/01/02,0.93,0.97,0.93,0.95,295000,279120,0.00,11
108/01/03,0.92,0.97,0.90,0.97,186000,171430,+0.02,16
108/01/04,1.00,1.04,0.93,0.93,495000,483780,-0.04,30
