106/09/28,1.13,1.13,1.13,1.13,10000,11300,0.00,1
106/09/29,0.64,0.64,0.64,0.64,20000,12800,-0.49,1
106/09/30,0.68,0.72,0.68,0.72,2000,1400,+0.08,2
106/10/02,0.79,0.81,0.79,0.81,2000,1600,+0.09,2
106/10/03,0.91,0.91,0.91,0.91,1000,910,+0.10,1
106/10/05,1.16,1.56,1.16,1.54,44000,59360,+0.63,9
106/10/06,---,---,---,---,0,0,---,0
106/10/11,---,---,---,---,0,0,---,0
106/10/12,---,---,---,---,0,0,---,0
106/10/13,---,---,---,---,0,0,---,0
106/10/16,---,---,---,---,0,0,---,0
106/10/17,---,---,---,---,0,0,---,0
106/10/18,---,---,---,---,0,0,---,0
