106/09/25,0.05,0.05,0.04,0.05,1190000,51500,-0.01,42
106/09/26,0.06,0.08,0.06,0.08,2536000,167950,+0.03,8
106/09/27,0.07,0.07,0.05,0.06,2167000,137920,-0.02,13
106/09/28,0.03,0.04,0.03,0.04,1670000,52300,-0.02,173
106/09/29,0.03,0.03,0.03,0.03,1120000,33600,-0.01,114
106/09/30,0.03,0.03,0.03,0.03,30000,900,0.00,1
106/10/02,---,---,---,---,0,0,---,0
106/10/03,0.03,0.03,0.03,0.03,30000,900,0.00,1
106/10/05,---,---,---,---,0,0,---,0
106/10/06,0.01,0.01,0.01,0.01,50000,500,-0.02,2
106/10/11,0.01,0.02,0.01,0.02,5432000,82440,+0.01,24
106/10/12,0.02,0.02,0.02,0.02,499000,9980,0.00,1
106/10/13,---,---,---,---,0,0,---,0
106/10/16,0.01,0.01,0.01,0.01,499000,4990,-0.01,1
106/10/17,0.01,0.01,0.01,0.01,6357000,63570,0.00,20
106/10/18,0.01,0.01,0.01,0.01,1340000,13400,0.00,6
106/10/19,---,---,---,---,0,0,---,0
106/10/20,---,---,---,---,0,0,---,0
106/10/23,---,---,---,---,0,0,---,0
106/10/24,---,---,---,---,0,0,---,0
106/10/25,---,---,---,---,0,0,---,0
106/10/26,---,---,---,---,0,0,---,0
106/10/27,---,---,---,---,0,0,---,0
106/10/30,---,---,---,---,0,0,---,0
106/10/31,---,---,---,---,0,0,---,0
106/11/01,---,---,---,---,0,0,---,0
106/11/02,---,---,---,---,0,0,---,0
106/11/03,---,---,---,---,0,0,---,0
